UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"mrs-84106",0,,,,,,,Discontinued
,"mrs-85001",0,,,,,,,Discontinued
,"mrs-85007",0,,,,,,,Discontinued
,"mrs-85013",0,,,,,,,Discontinued
,"mrs-85016",0,,,,,,,Discontinued
,"mrs-85050",0,,,,,,,Discontinued
,"mrs-85052",0,,,,,,,Discontinued
,"mrs-85054",0,,,,,,,Discontinued
,"mrs-85055",0,,,,,,,Discontinued
,"mrs-85057",0,,,,,,,Discontinued
,"mrs-85501",0,,,,,,,Discontinued
,"mrs-85503",0,,,,,,,Discontinued
,"mrs-85505",0,,,,,,,Discontinued
,"mrs-85508",0,,,,,,,Discontinued
,"mrs-87012",0,,,,,,,Discontinued
,"mrs-88802",0,,,,,,,Discontinued
,"mrs-9002BS",0,,,,,,,Discontinued
,"mrs-9007BS",0,,,,,,,Discontinued
,"mrs-9013BS",0,,,,,,,Discontinued
,"mrs-90305",0,,,,,,,Discontinued
,"mrs-95401",0,,,,,,,Discontinued
,"mrs-95505BK",0,,,,,,,Discontinued
,"mrs-95601",0,,,,,,,Discontinued
,"mrs-95701",0,,,,,,,Discontinued
,"mrs-AA01",0,,,,,,,Discontinued
,"mrs-AA05BK",0,,,,,,,Discontinued
,"mrs-AA06",0,,,,,,,Discontinued
,"mrs-AA08",0,,,,,,,Discontinued
,"mrs-AA100CH",0,,,,,,,Discontinued
,"mrs-AA105",0,,,,,,,Discontinued
,"mrs-AA107",0,,,,,,,Discontinued
,"mrs-AA128",0,,,,,,,Discontinued
,"mrs-AA144LG",0,,,,,,,Discontinued
,"mrs-AA148",0,,,,,,,Discontinued
,"mrs-AA158",0,,,,,,,Discontinued
,"mrs-AA174LG",0,,,,,,,Discontinued
,"mrs-AA174SM",0,,,,,,,Discontinued
,"mrs-AA187",0,,,,,,,Discontinued
,"mrs-AA189",0,,,,,,,Discontinued
,"mrs-AA191",0,,,,,,,Discontinued
,"mrs-AA193",0,,,,,,,Discontinued
,"mrs-AA196",0,,,,,,,Discontinued
,"mrs-AA2",0,,,,,,,Discontinued
,"mrs-AA204",0,,,,,,,Discontinued
,"mrs-AA20BK",0,,,,,,,Discontinued
,"mrs-AA21580MD",0,,,,,,,Discontinued
,"mrs-AA21622MD",0,,,,,,,Discontinued
,"mrs-AA219",0,,,,,,,Discontinued
,"mrs-AA21RD",0,,,,,,,Discontinued
,"mrs-AA222",0,,,,,,,Discontinued
,"mrs-AA224",0,,,,,,,Discontinued
,"mrs-AA22BK",0,,,,,,,Discontinued
,"mrs-AA231",0,,,,,,,Discontinued
,"mrs-AA233",0,,,,,,,Discontinued
,"mrs-AA235",0,,,,,,,Discontinued
,"mrs-AA23709LG",0,,,,,,,Discontinued
,"mrs-AA23709MD",0,,,,,,,Discontinued
,"mrs-AA33MD",0,,,,,,,Discontinued
,"mrs-AA34LG",0,,,,,,,Discontinued
,"mrs-AA38ML",0,,,,,,,Discontinued
,"mrs-AA41LG",0,,,,,,,Discontinued
,"mrs-AA41SM",0,,,,,,,Discontinued
,"mrs-AA43526MD",0,,,,,,,Discontinued
,"mrs-AA47",0,,,,,,,Discontinued
,"mrs-AA55",0,,,,,,,Discontinued
,"mrs-AA68",0,,,,,,,Discontinued
,"mrs-AA85",0,,,,,,,Discontinued
,"mrs-AA86001MD",0,,,,,,,Discontinued
,"mrs-AA86001XL",0,,,,,,,Discontinued
,"mrs-AA86LG",0,,,,,,,Discontinued
,"mrs-AA90LG",0,,,,,,,Discontinued
,"mrs-AA90XL",0,,,,,,,Discontinued
,"mrs-AA99",0,,,,,,,Discontinued
,"mrs-AB05",0,,,,,,,Discontinued
,"mrs-AB09BKA",0,,,,,,,Discontinued
,"mrs-AB09BKC",0,,,,,,,Discontinued
,"mrs-AB09GDC",0,,,,,,,Discontinued
,"mrs-AB09RDB",0,,,,,,,Discontinued
,"mrs-AB09RDD",0,,,,,,,Discontinued
,"mrs-AB09SVB",0,,,,,,,Discontinued
,"mrs-AB09SVD",0,,,,,,,Discontinued
,"mrs-AB108",0,,,,,,,Discontinued
,"mrs-AB110",0,,,,,,,Discontinued
,"mrs-AB115PK",0,,,,,,,Discontinued
,"mrs-AB11PK",0,,,,,,,Discontinued
,"mrs-AB129",0,,,,,,,Discontinued
,"mrs-AB13PK",0,,,,,,,Discontinued
,"mrs-AB13RD",0,,,,,,,Discontinued
,"mrs-AB145GDLG",0,,,,,,,Discontinued
,"mrs-AB145GDSM",0,,,,,,,Discontinued
,"mrs-AB147",0,,,,,,,Discontinued
,"mrs-AB150",0,,,,,,,Discontinued
,"mrs-AB154",0,,,,,,,Discontinued
,"mrs-AB16",0,,,,,,,Discontinued
,"mrs-AB161",0,,,,,,,Discontinued
,"mrs-AB173",0,,,,,,,Discontinued
,"mrs-AB18BK",0,,,,,,,Discontinued
,"mrs-AB18RD",0,,,,,,,Discontinued
,"mrs-AB40",0,,,,,,,Discontinued
,"mrs-AB51",0,,,,,,,Discontinued
,"mrs-AB58",0,,,,,,,Discontinued
,"mrs-AB63",0,,,,,,,Discontinued
,"mrs-AB68BK",0,,,,,,,Discontinued
,"mrs-AB68WT",0,,,,,,,Discontinued
,"mrs-AB89",0,,,,,,,Discontinued
,"mrs-AB93",0,,,,,,,Discontinued
,"mrs-AC01LG",0,,,,,,,Discontinued
,"mrs-AC02",0,,,,,,,Discontinued
